INSEE;NOM;NOM_COUV;COM/EPCI;POP;STRATE;X;Y;NOM2;CP
14077;Blangy-le-Château;Blangy-le-Château;COM;728;1;31539;6316836.359;Blangy-le-Château (14130);14130
14078;Blay;Blay;COM;364;0;-93056;6322507.707;Blay (14400);14400
14079;Blonville-sur-Mer;Blonville-sur-Mer;COM;1552;2;3588;6329732.258;Blonville-sur-Mer (14910);14910
14080;Le Bô;Le Bô;COM;125;0;-49264;6258896.589;Le Bô (14690);14690
14082;La Boissière;La Boissière;COM;189;0;14743;6296990.887;La Boissière (14340);14340
14083;Bonnebosq;Bonnebosq;COM;666;1;10054;6311939.219;Bonnebosq (14340);14340
14084;Bonnemaison;Bonnemaison;COM;398;0;-65125;6275468.399;Bonnemaison (14260);14260
14085;Bonneville-la-Louvet;Bonneville-la-Louvet;COM;814;1;38085;6321338.527;Bonneville-la-Louvet (14130);14130
14086;Bonneville-sur-Touques;Bonneville-sur-Touques;COM;321;0;13238;6331115.336;Bonneville-sur-Touques (14800);14800
14087;Bonnœil;Bonnœil;COM;122;0;-40835;6261737.588;Bonnœil (14700);14700
14088;Bons-Tassilly;Bons-Tassilly;COM;401;0;-25446;6267869.253;Bons-Tassilly (14420);14420
14089;Bougy;Bougy;COM;390;0;-58243;6293259.159;Bougy (14210);14210
14090;Boulon;Boulon;COM;778;1;-41996;6282830.115;Boulon (14220);14220
14091;Bourgeauville;Bourgeauville;COM;100;0;6431;6320586.522;Bourgeauville (14430);14430
14092;Bourguébus;Bourguébus;COM;2304;2;-32226;6294644.284;Bourguébus (14540);14540
14093;Branville;Branville;COM;198;0;2588;6320690.633;Branville (14430);14430
14096;Brémoy;Brémoy;COM;236;0;-86918;6274595.558;Brémoy (14260);14260
14097;Bretteville-le-Rabet;Bretteville-le-Rabet;COM;303;0;-28727;6279940.443;Bretteville-le-Rabet (14190);14190
14098;Thue et Mue;Thue et Mue;COM;6150;3;-59807;6308401.659;Thue et Mue (14210);14210
14100;Bretteville-sur-Laize;Bretteville-sur-Laize;COM;1912;2;-36222;6283393.101;Bretteville-sur-Laize (14680);14680
14101;Bretteville-sur-Odon;Bretteville-sur-Odon;COM;4069;3;-46974;6304348.85;Bretteville-sur-Odon (14760);14760
14102;Le Breuil-en-Auge;Le Breuil-en-Auge;COM;994;1;24320;6313565.068;Le Breuil-en-Auge (14130);14130
14103;Le Breuil-en-Bessin;Le Breuil-en-Bessin;COM;415;0;-95250;6318147.398;Le Breuil-en-Bessin (14330);14330
14104;Le Brévedent;Le Brévedent;COM;178;0;32781;6313509.779;Le Brévedent (14130);14130
14106;Bréville-les-Monts;Bréville-les-Monts;COM;659;1;-24663;6315000.015;Bréville-les-Monts (14860);14860
14107;Bricqueville;Bricqueville;COM;155;0;-106439;6324178.164;Bricqueville (14710);14710
14110;Brucourt;Brucourt;COM;126;0;-11465;6316858.543;Brucourt (14160);14160
14111;Bucéels;Bucéels;COM;437;0;-71150;6306662.662;Bucéels (14250);14250
14116;Le Bû-sur-Rouvres;Le Bû-sur-Rouvres;COM;113;0;-19699;6280240.066;Le Bû-sur-Rouvres (14190);14190
14117;Cabourg;Cabourg;COM;3511;3;-14207;6322952.614;Cabourg (14390);14390
14118;Caen;Caen;COM;107250;7;-41176;6306307.556;Caen (14000);14000
14119;Cagny;Cagny;COM;2003;2;-28964;6301086.176;Cagny (14630);14630
14120;Cahagnes;Cahagnes;COM;1400;2;-84917;6286283.235;Cahagnes (14240);14240
14121;Cahagnolles;Cahagnolles;COM;256;0;-86413;6302602.277;Cahagnolles (14490);14490
14122;La Caine;La Caine;COM;158;0;-57402;6280946.041;La Caine (14210);14210
14123;Cairon;Cairon;COM;2029;2;-48728;6314681.411;Cairon (14610);14610
14124;La Cambe;La Cambe;COM;548;1;-112428;6333566.068;La Cambe (14230);14230
14125;Cambes-en-Plaine;Cambes-en-Plaine;COM;1717;2;-42733;6314271.765;Cambes-en-Plaine (14610);14610
14126;Cambremer;Cambremer;COM;1322;2;5672;6299614.531;Cambremer (14340);14340
14127;Campagnolles;Campagnolles;COM;555;1;-104065;6256131.206;Campagnolles (14500);14500
14130;Campigny;Campigny;COM;186;0;-89165;6317326.766;Campigny (14490);14490
14131;Canapville;Canapville;COM;226;0;15120;6328781.093;Canapville (14800);14800
14132;Canchy;Canchy;COM;205;0;-109734;6331166.363;Canchy (14230);14230
14134;Canteloup;Canteloup;COM;190;0;-13509;6298049.176;Canteloup (14370);14370
14135;Carcagny;Carcagny;COM;281;0;-68424;6315621.78;Carcagny (14740);14740
14136;Cardonville;Cardonville;COM;96;0;-117340;6333816;Cardonville (14230);14230
14137;Carpiquet;Carpiquet;COM;3137;3;-50234;6306603.237;Carpiquet (14650);14650
14138;Cartigny-l'Épinay;Cartigny-l'Épinay;COM;295;0;-111952;6315614.875;Cartigny-l'Épinay (14330);14330
14140;Castillon;Castillon;COM;352;0;-88815;6308132.225;Castillon (14490);14490
14141;Castillon-en-Auge;Castillon-en-Auge;COM;160;0;10344;6280826.399;Castillon-en-Auge (14140);14140
14143;Caumont-sur-Aure;Caumont-sur-Aure;COM;2394;2;-88736;6292811.683;Caumont-sur-Aure (14240);14240
14145;Cauvicourt;Cauvicourt;COM;550;1;-28841;6282911.657;Cauvicourt (14190);14190
14146;Cauville;Cauville;COM;169;0;-62757;6266761.218;Cauville (14770);14770
14147;Cernay;Cernay;COM;139;0;36057;6277633.482;Cernay (14290);14290
